LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
-0.056866229851573705,2,2,2,-0.2645576883021463,2,2,3,2,0,0,1.5055469349651405,1.7450893449114075,1.778869261031514,1.891679106604555,2.0208392454584314,2.0963455798864317,0.580657368989659,-0.2903324100544133,-0.29781996887873075,0.08696116449509839,0.5003973778253324,0.048744857942793075,0
-0.13408117035791992,2,1,2,-0.15580369280257442,1,-1,-1,-2,-2,-2,-0.6951645298592394,-0.691138012711169,-0.6850900799699852,-0.6738448628343691,-0.6624884274237327,-0.6521262644651831,-0.34496922935219193,-0.2903324100544133,-0.29781996887873075,-0.31807510111882514,-0.3169784701306364,-0.29299231365297923,0
-1.215090337446767,1,2,1,1.5842602351905766,1,2,0,0,0,0,-0.5567995799687846,-0.5768359660272155,-0.5616150762967029,-0.547887332182164,-0.5267888880503482,-0.5104915692561186,-0.3481275190769149,-0.22708115089929076,-0.23306877132236498,-0.29855368110399017,-0.29671020723416724,-0.23696982650613133,0
0.4064234131865036,2,1,2,-0.699573670300434,0,0,0,0,0,0,2.1191902502398072,2.2872370666475113,2.4601015865308753,2.7380006677724573,1.509166046126748,1.613118350124934,0.2152865969138632,0.15405582756939848,0.15252632312043748,0.0006419603478687803,0.008642802632310521,0.04314260922810829,1
1.1013578777436195,2,1,2,-0.3733116838017183,1,-2,-1,0,0,-2,-0.6951645298592394,-0.6918861920954162,-0.6803241728900076,-0.6687547233782367,-0.6663646145822042,-0.6560886636763891,-0.3482513735759237,-0.2742356805582619,-0.29781996887873075,-0.31807510111882514,-0.3169784701306364,-0.22576532907676172,0
0.560853294199196,2,1,2,0.06170429819656945,-1,-1,2,0,-1,2,-0.6221525658377989,-0.593648827284544,-0.5878860426240635,-0.5934487644919613,-0.43569024261954686,-0.5547186889624729,0.08270035572500235,-0.28959176299170697,-0.29781996887873075,0.1475838055615758,-0.3169784701306364,-0.25231998798436767,1
-0.056866229851573705,2,3,2,-0.2645576883021463,-1,2,2,2,2,-2,-0.4476421364606723,-0.6812281650179326,-0.03811088418960327,0.0011138746186516008,-0.6752221145996478,-0.6651431674058257,-0.3482513735759237,1.8575440717940104,-0.29781996887873075,-0.31807510111882514,-0.3169784701306364,-0.12492485221243547,0
-0.9062305754213821,2,2,1,-0.15580369280257442,3,3,2,2,2,2,-0.0434847973302503,-0.01090178650891326,0.025439416659053832,0.0489080981622737,0.07707158799919682,0.0987905392414465,-0.2243968745671793,-0.19153009188938583,-0.26932715796107065,-0.18527632550770268,-0.18407182818657644,-0.20895858293270736,1
1.4874325802753505,1,1,1,-0.3733116838017183,0,0,0,0,0,0,0.9445505920703833,1.0660530290423784,1.1937591412096131,1.4241669728759916,1.5745828898309953,1.6218524896628264,0.023312123450309436,0.005926415028127888,0.15897860294748276,0.008477088108925007,0.015288134729513521,-0.1081181060683811,0
1.1785728182499657,1,2,2,-0.699573670300434,0,0,0,0,0,0,3.7219164528151727,3.8410927149916896,4.066548517461329,4.357679919928796,4.246859305708155,4.4328122126388205,0.37320108315001227,0.3268734755342142,0.3816679067127618,0.3793176690029845,0.406432381970882,0.2694734573013739,0
-1.0606604564340745,2,2,1,1.4755062396910046,1,2,-1,-1,-1,2,-0.5531401392529717,-0.5511155351196988,-0.45011331771084884,-0.5748213523104712,-0.5293290277201551,-0.6229394004881723,-0.3482513735759237,0.504678147054586,0.0643070989365,-0.20313776082739865,-0.3169784701306364,0.01608374793618074,0
